user_id,subscription_plan,device,region,watch_minutes,login_frequency,days_inactive,support_tickets,tenure_months,churn_probability,churn
1,Premium,Tablet,Asia,124.19741494453585,17.739225743213115,20.264412013865194,0,29,0.48373494547141993,0
2,Basic,Desktop,Europe,146.58582357587534,9.86608768700836,3.5214243989683096,0,29,0.0,0
3,Premium,Desktop,North America,219.81209476677336,18.438391797381406,6.695889496869885,1,9,0.031064590139323195,0
4,Premium,TV,Asia,121.29937726743566,15.126167822608766,10.406433694657197,4,22,0.39089363357228024,0
5,Basic,Mobile,South America,74.8730627165996,1.688631915885022,2.8503381778573846,3,8,0.16063708261912196,0
6,Basic,TV,Europe,135.9195720985704,10.656080261597086,14.435391087156638,0,17,0.29714216051612874,0
7,Premium,Desktop,North America,100.63882652363445,4.631591421600618,17.798591582768402,2,23,0.5333189209594176,1
8,Standard,TV,South America,195.74432137714763,11.308064771175678,3.8175835159092477,3,30,0.06878318410012979,0
9,Premium,TV,North America,100.1154817131031,16.532911583621967,5.249151373513155,4,15,0.2573590594922916,0
10,Premium,Desktop,Europe,120.73588268558397,13.506245829090819,18.35801418617056,0,14,0.4300045428995328,0
11,Premium,Tablet,North America,144.9165563879677,18.080355595632163,11.013000935184465,3,25,0.33547347166756625,0
12,Premium,Desktop,Asia,139.6520296857597,3.2626302378027976,8.45697015090946,0,16,0.11405707484152411,0
13,Basic,Tablet,North America,175.6077004088961,19.791552082628364,4.6651190294632405,4,18,0.1643458704750011,0
14,Premium,Desktop,Europe,146.69934437729006,16.22791145242891,7.416251142431747,1,32,0.12578818989566234,0
15,Standard,Desktop,Asia,213.71786969840406,8.675033710829856,8.974776623649705,3,15,0.2055254290110871,0
16,Basic,Desktop,North America,137.97969998845713,14.875319415528528,14.476510247872346,4,33,0.4963156074477132,0
17,Standard,Mobile,North America,171.9641425621773,25.955129698955762,9.980892048312185,1,13,0.17746261888718823,0
18,Standard,Tablet,Asia,101.22996116162855,22.326148349725024,3.6288253029222597,1,7,0.05763479792603923,0
19,Standard,Mobile,South America,198.9929437153694,23.387828926216425,6.340152957146442,4,19,0.19121164499902382,0
20,Standard,Desktop,South America,106.0921578960172,13.935504605260585,2.1736968837508,2,21,0.05911874861650682,0
21,Basic,TV,Asia,179.4413348533135,20.68233214294726,9.07286199568957,4,9,0.2927445250173736,0
22,Basic,Mobile,North America,155.67674931657385,21.551130322473874,25.779308634305504,0,4,0.6177025097125913,1
23,Standard,Tablet,South America,122.66677834282743,9.78055779974989,27.33929979684836,2,31,0.7975122155626232,1
24,Standard,Desktop,Asia,179.8268470560887,21.45330261992809,12.29090231895146,1,7,0.23890022251245507,0
25,Basic,Mobile,Europe,119.52046428877028,20.32080326853152,0.0,3,13,0.03047953571122973,0
26,Basic,TV,North America,174.73543193661175,11.635780484423677,16.482546171887037,1,8,0.36974095321999934,0
27,Basic,Mobile,Europe,135.1219743649912,15.467341459531976,14.67081883227701,3,26,0.45500259060331916,0
28,Premium,Tablet,North America,104.91134147892052,21.790974114435812,28.80930630949316,3,27,0.9093678478058741,1
29,Premium,Mobile,South America,132.8107201972085,14.71016902532615,10.522096627703316,4,26,0.382852178633891,0
30,Premium,TV,Europe,121.3641451954895,19.417030919882862,7.023938761922515,4,14,0.289354017662186,0
31,Standard,TV,Europe,102.29933535391038,12.642809001174264,3.010606574652539,1,20,0.03801886188566579,0
32,Premium,Tablet,Asia,129.31943280444136,9.525225033624837,15.756992481637381,4,28,0.5433903416446801,1
33,Standard,TV,South America,136.14746820697098,9.004604064347955,8.684951652225376,1,8,0.17440108135979027,0
34,Standard,Desktop,South America,21.818603727226048,13.593691878316413,8.207120582184144,4,5,0.4243950137382983,0
35,Premium,TV,North America,140.05454341742234,17.191548077959652,6.476811743941859,4,13,0.25424980890083343,0
36,Standard,Desktop,Asia,149.64419186766978,6.213850085558109,25.400540808628456,3,2,0.7623720323911839,1
37,Premium,Mobile,Asia,178.06582969587598,24.631224168119147,7.114105430458379,2,14,0.1353573332178754,0
38,Premium,Desktop,North America,70.55997509516436,20.338882962687485,14.90313556779084,4,3,0.576534091938561,1
39,Basic,Desktop,Europe,79.29984136451804,17.56900971058548,13.23565380974446,4,16,0.5177697729278157,1
40,Premium,Mobile,North America,128.3709265720337,19.07892209745952,0.0,1,9,0.0,0
41,Basic,TV,North America,91.48296205669675,11.761580785695813,25.492721003289404,3,2,0.8232986680419854,1
42,Premium,Desktop,North America,72.40965020783537,7.620716741530753,0.0,3,11,0.07759034979216466,0
43,Premium,TV,Asia,103.46377458486322,17.049218589417624,3.692464292252475,2,24,0.10731015418271103,0
44,Basic,Mobile,North America,105.6071958518848,20.220756619741575,6.444174457818319,2,29,0.18771803788266475,0
45,Basic,Tablet,North America,79.37401500821787,12.531009848638575,4.923349860003091,2,14,0.16832648079187487,0
46,Premium,TV,North America,79.10718127278457,10.2791189512717,8.396841422539948,4,22,0.37279806140341387,0
47,Standard,TV,South America,115.14724852762008,12.290008139555034,4.595876729138976,1,34,0.07272905334654924,0
48,Basic,Tablet,Europe,62.05489630041596,17.405733045508082,19.496451860501054,0,33,0.5228386595146156,1
49,Standard,Tablet,Europe,61.411284839300336,18.009722139033315,14.136239772599552,1,18,0.41267590833868617,0
